2025-03-20 12:39:01.926,0,no_colour,"Test","Yes","",99,20,"Test: 1"
2025-03-20 12:39:03.854,0,Orange,"Card","No","Resources",-1,-1,"Animal: 1"
2025-03-20 12:39:03.966,1,Red,"Card","No","Resources",-1,-1,"Food: 2, Wood: 1, Metal: 1"
2025-03-20 12:39:03.987,1,Red,"Town","No","Resources",2,4,"Food: 3, Wood: 1, Metal: 1"
2025-03-20 12:39:03.995,1,Red,"Road","No","Resources",7,13,"Food: 3, Wood: 1, Metal: 1"
2025-03-20 12:39:03.995,1,Red,"Village","No","Location",0,3,""
2025-03-20 12:39:04.086,2,White,"Village","No","Location",0,3,""
2025-03-20 12:39:04.096,2,White,"Card","No","Resources",-1,-1,"Clay: 1"
2025-03-20 12:39:04.198,3,Blue,"Road","No","Resources",6,13,"Animal: 2, Metal: 2, Wood: 2"
2025-03-20 12:39:04.292,4,Orange,"Card","No","Resources",-1,-1,"Animal: 1"
2025-03-20 12:39:04.312,4,Orange,"Road","No","Resources",6,13,"Animal: 1"
2025-03-20 12:39:04.316,4,Orange,"Card","No","Resources",-1,-1,"Animal: 1"
2025-03-20 12:39:04.320,4,Orange,"Village","No","Location",0,3,""
2025-03-20 12:39:04.329,4,Orange,"Town","No","Resources",2,4,"Animal: 1"
2025-03-20 12:39:04.405,5,Red,"Card","No","Resources",-1,-1,"Food: 3, Wood: 1, Metal: 1, Clay: 1"
2025-03-20 12:39:04.444,5,Red,"Village","No","Location",0,3,""
2025-03-20 12:39:04.530,6,White,"Village","No","Location",0,3,""
2025-03-20 12:39:04.605,7,Blue,"Card","No","Resources",-1,-1,"Animal: 2, Metal: 3, Wood: 3"
2025-03-20 12:39:04.622,7,Blue,"Town","No","Resources",2,4,"Animal: 2, Metal: 3, Wood: 3"
2025-03-20 12:39:04.675,7,Blue,"Road","No","Resources",6,13,"Animal: 3, Metal: 3, Wood: 1"
2025-03-20 12:39:04.675,7,Blue,"Village","No","Location",0,3,""
2025-03-20 12:39:04.681,7,Blue,"Card","No","Resources",-1,-1,"Animal: 3, Metal: 3, Wood: 1"
2025-03-20 12:39:04.747,8,Orange,"Card","No","Resources",-1,-1,"Animal: 1"
2025-03-20 12:39:04.770,8,Orange,"Road","No","Resources",6,13,"Animal: 1"
2025-03-20 12:39:04.770,8,Orange,"Village","No","Location",0,3,""
2025-03-20 12:39:04.915,10,White,"Card","No","Resources",-1,-1,"Clay: 3"
2025-03-20 12:39:04.935,10,White,"Town","No","Resources",2,4,"Clay: 3"
2025-03-20 12:39:04.938,10,White,"Road","No","Resources",7,13,"Clay: 3"
2025-03-20 12:39:04.938,10,White,"Village","No","Location",0,3,""
2025-03-20 12:39:05.020,11,Blue,"Card","No","Resources",-1,-1,"Animal: 3, Metal: 3, Wood: 2"
2025-03-20 12:39:05.106,12,Orange,"Card","No","Resources",-1,-1,"Animal: 1, Wood: 2"
2025-03-20 12:39:05.283,12,Orange,"Road","No","Resources",6,13,"Animal: 1, Wood: 2"
2025-03-20 12:39:05.286,12,Orange,"Card","No","Resources",-1,-1,"Animal: 1, Wood: 2"
2025-03-20 12:39:05.290,12,Orange,"Town","No","Resources",2,4,"Animal: 1, Wood: 2"
2025-03-20 12:39:05.362,13,Red,"Card","No","Resources",-1,-1,"Food: 6, Wood: 0, Metal: 1, Clay: 1"
2025-03-20 12:39:05.365,13,Red,"Town","No","Resources",2,4,"Food: 6, Wood: 0, Metal: 1, Clay: 1"
2025-03-20 12:39:05.368,13,Red,"Road","No","Resources",8,12,"Food: 6, Wood: 0, Metal: 1, Clay: 1"
2025-03-20 12:39:05.452,14,White,"Town","No","Resources",2,4,"Clay: 3"
2025-03-20 12:39:05.526,15,Blue,"Card","No","Resources",-1,-1,"Animal: 2, Metal: 3, Wood: 0"
2025-03-20 12:39:05.587,16,Orange,"Card","No","Resources",-1,-1,"Animal: 2, Wood: 2"
2025-03-20 12:39:05.600,16,Orange,"Town","No","Resources",2,4,"Animal: 2, Wood: 2"
2025-03-20 12:39:05.603,16,Orange,"Card","No","Resources",-1,-1,"Animal: 2, Wood: 2"
2025-03-20 12:39:05.606,16,Orange,"Road","No","Resources",6,13,"Animal: 2, Wood: 2"
2025-03-20 12:39:05.739,18,White,"Card","No","Resources",-1,-1,"Clay: 4"
2025-03-20 12:39:05.739,18,White,"Village","No","Location",0,3,""
2025-03-20 12:39:05.802,19,Blue,"Card","No","Resources",-1,-1,"Animal: 2, Metal: 3, Wood: 0"
2025-03-20 12:39:05.812,19,Blue,"Village","No","Location",0,3,""
2025-03-20 12:39:05.884,20,Orange,"Card","No","Resources",-1,-1,"Animal: 3, Wood: 2"
2025-03-20 12:39:05.992,21,Red,"Town","No","Resources",2,4,"Food: 3, Wood: 2, Metal: 1, Clay: 3"
2025-03-20 12:39:06.020,21,Red,"Card","No","Resources",-1,-1,"Food: 3, Wood: 1, Metal: 1, Clay: 2"
2025-03-20 12:39:06.082,22,White,"Card","No","Resources",-1,-1,"Clay: 5"
2025-03-20 12:39:06.099,22,White,"Road","No","Resources",7,13,"Clay: 5"
2025-03-20 12:39:06.102,22,White,"Village","No","Location",0,3,""
2025-03-20 12:39:06.108,22,White,"Town","No","Resources",2,4,"Clay: 5"
2025-03-20 12:39:06.134,22,White,"Card","No","Resources",-1,-1,"Clay: 1, Metal: 1"
2025-03-20 12:39:06.194,23,Blue,"Card","No","Resources",-1,-1,"Animal: 2, Metal: 5, Wood: 1"
2025-03-20 12:39:06.277,24,Orange,"Card","No","Resources",-1,-1,"Animal: 3, Wood: 2"
2025-03-20 12:39:06.386,24,Orange,"Village","No","Location",0,3,""
2025-03-20 12:39:06.394,24,Orange,"Card","No","Resources",-1,-1,"Animal: 3, Wood: 2"
2025-03-20 12:39:06.483,25,Red,"Card","No","Resources",-1,-1,"Food: 3, Wood: 0, Metal: 1, Clay: 1"
2025-03-20 12:39:06.486,25,Red,"Village","No","Location",0,3,""
2025-03-20 12:39:06.558,26,White,"Card","No","Resources",-1,-1,"Clay: 1, Metal: 1"
2025-03-20 12:39:06.726,28,Orange,"Card","No","Resources",-1,-1,"Animal: 4, Wood: 1"
2025-03-20 12:39:06.742,28,Orange,"Town","No","Resources",2,4,"Animal: 4, Wood: 1"
2025-03-20 12:39:06.809,29,Red,"Card","No","Resources",-1,-1,"Food: 4, Wood: 0, Metal: 1, Clay: 1"
2025-03-20 12:39:06.913,29,Red,"Town","No","Resources",2,4,"Food: 4, Wood: 1, Metal: 1, Clay: 1"
2025-03-20 12:39:06.913,29,Red,"Village","No","Location",0,3,""
2025-03-20 12:39:06.918,29,Red,"Card","No","Resources",-1,-1,"Food: 4, Wood: 1, Metal: 1, Clay: 1"
2025-03-20 12:39:06.994,30,White,"Town","No","Resources",2,4,"Clay: 2, Metal: 1"
2025-03-20 12:39:06.997,30,White,"Card","No","Resources",-1,-1,"Clay: 2, Metal: 1"
2025-03-20 12:39:07.053,31,Blue,"Card","No","Resources",-1,-1,"Animal: 2, Metal: 1, Wood: 1"
2025-03-20 12:39:07.122,32,Orange,"Card","No","Resources",-1,-1,"Animal: 5, Wood: 1"
2025-03-20 12:39:07.241,32,Orange,"Road","No","Resources",6,13,"Animal: 5, Wood: 1"
2025-03-20 12:39:07.270,32,Orange,"Card","No","Resources",-1,-1,"Animal: 1, Wood: 1, Metal: 1"
2025-03-20 12:39:07.329,33,Red,"Card","No","Resources",-1,-1,"Food: 4, Wood: 1, Metal: 0, Clay: 0"
2025-03-20 12:39:07.344,33,Red,"Town","No","Resources",2,4,"Food: 4, Wood: 1, Metal: 0, Clay: 1"
2025-03-20 12:39:07.368,33,Red,"Road","No","Resources",11,9,"Food: 4, Wood: 0, Metal: 0, Clay: 0"
2025-03-20 12:39:07.368,33,Red,"Village","No","Location",0,3,""
2025-03-20 12:39:07.374,33,Red,"Card","No","Resources",-1,-1,"Food: 4, Wood: 0, Metal: 0, Clay: 0"
2025-03-20 12:39:07.471,34,White,"Village","No","Location",0,3,""
2025-03-20 12:39:07.477,34,White,"Road","No","Resources",7,13,"Clay: 1, Metal: 1, Animal: 1"
2025-03-20 12:39:07.542,35,Blue,"Card","No","Resources",-1,-1,"Animal: 2, Metal: 1, Wood: 1"
2025-03-20 12:39:07.557,35,Blue,"Town","No","Resources",2,4,"Animal: 2, Metal: 1, Wood: 2"
2025-03-20 12:39:07.564,35,Blue,"Card","No","Resources",-1,-1,"Animal: 2, Metal: 1, Wood: 2"
2025-03-20 12:39:07.647,36,Orange,"Card","No","Resources",-1,-1,"Animal: 1, Wood: 2, Metal: 1"
2025-03-20 12:39:07.712,37,Red,"Card","No","Resources",-1,-1,"Food: 5, Wood: 0, Metal: 0, Clay: 0"
2025-03-20 12:39:07.786,38,White,"Card","No","Resources",-1,-1,"Clay: 2, Metal: 1, Animal: 1"
2025-03-20 12:39:07.798,38,White,"Village","No","Location",0,3,""
2025-03-20 12:39:07.882,39,Blue,"Card","No","Resources",-1,-1,"Animal: 2, Metal: 1, Wood: 2"
2025-03-20 12:39:07.939,40,Orange,"Card","No","Resources",-1,-1,"Animal: 2, Wood: 2, Metal: 1"
2025-03-20 12:39:07.951,40,Orange,"Town","No","Resources",2,4,"Animal: 2, Wood: 2, Metal: 1"
2025-03-20 12:39:07.951,40,Orange,"Village","No","Location",0,3,""
2025-03-20 12:39:08.248,41,Red,"Town","No","Resources",2,4,"Food: 4, Wood: 0, Metal: 0, Clay: 0"
2025-03-20 12:39:08.251,41,Red,"Road","No","Resources",11,9,"Food: 4, Wood: 0, Metal: 0, Clay: 0"
2025-03-20 12:39:08.307,42,White,"Card","No","Resources",-1,-1,"Clay: 4, Metal: 1, Animal: 1"
2025-03-20 12:39:08.379,43,Blue,"Card","No","Resources",-1,-1,"Animal: 3, Metal: 1, Wood: 2"
2025-03-20 12:39:08.415,43,Blue,"Town","No","Resources",2,4,"Animal: 3, Metal: 1, Wood: 1, Clay: 1"
2025-03-20 12:39:08.417,43,Blue,"Card","No","Resources",-1,-1,"Animal: 3, Metal: 1, Wood: 1, Clay: 1"
2025-03-20 12:39:08.418,43,Blue,"Village","No","Location",0,3,""
2025-03-20 12:39:08.497,44,Orange,"Card","No","Resources",-1,-1,"Animal: 3, Wood: 2, Metal: 1"
2025-03-20 12:39:08.508,44,Orange,"Town","No","Resources",2,4,"Animal: 4, Wood: 2, Metal: 1"
2025-03-20 12:39:08.512,44,Orange,"Road","No","Resources",6,13,"Animal: 4, Wood: 2, Metal: 1"
2025-03-20 12:39:08.596,45,Red,"Card","No","Resources",-1,-1,"Food: 4, Wood: 2, Metal: 0, Clay: 0"
2025-03-20 12:39:08.607,45,Red,"Village","No","Resources",1,3,"Food: 4, Wood: 2, Metal: 0, Clay: 0"
2025-03-20 12:39:08.610,45,Red,"Card","No","Resources",-1,-1,"Food: 4, Wood: 2, Metal: 0, Clay: 0"
2025-03-20 12:39:08.666,46,White,"Card","No","Resources",-1,-1,"Clay: 4, Metal: 1, Animal: 1"
2025-03-20 12:39:08.681,46,White,"Road","No","Resources",7,13,"Clay: 4, Metal: 1, Animal: 1"
2025-03-20 12:39:08.749,47,Blue,"Card","No","Resources",-1,-1,"Animal: 3, Metal: 1, Wood: 1, Clay: 0"
2025-03-20 12:39:08.751,47,Blue,"Road","No","Resources",7,12,"Animal: 3, Metal: 1, Wood: 1, Clay: 0"
2025-03-20 12:39:08.754,47,Blue,"Village","No","Resources",1,3,"Animal: 3, Metal: 1, Wood: 1, Clay: 0"
2025-03-20 12:39:08.810,48,Orange,"Card","No","Resources",-1,-1,"Animal: 1, Wood: 3, Metal: 1, Clay: 1"
2025-03-20 12:39:08.819,48,Orange,"Village","No","Location",0,3,""
2025-03-20 12:39:08.889,49,Red,"Town","No","Resources",2,4,"Food: 5, Wood: 4, Metal: 0, Clay: 0"
2025-03-20 12:39:08.918,49,Red,"Village","No","Resources",1,3,"Food: 1, Wood: 4, Metal: 0, Clay: 1"
2025-03-20 12:39:08.941,49,Red,"Card","No","Resources",-1,-1,"Food: 1, Wood: 3, Metal: 0, Clay: 0"
2025-03-20 12:39:08.997,50,White,"Card","No","Resources",-1,-1,"Clay: 4, Metal: 1, Animal: 1"
2025-03-20 12:39:09.010,50,White,"Village","No","Location",0,3,""
2025-03-20 12:39:09.018,50,White,"Road","No","Resources",7,13,"Clay: 4, Metal: 1, Animal: 1"
2025-03-20 12:39:09.021,50,White,"Town","No","Resources",2,4,"Clay: 4, Metal: 1, Animal: 1"
2025-03-20 12:39:09.229,52,Orange,"Card","No","Resources",-1,-1,"Animal: 1, Wood: 0, Metal: 1, Clay: 1"
